GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income
24031701425,Census Tract 7014.25; Montgomery County; Maryland,3942.0,20.3,5.4,40.1,24.0,108750.0
24031701426,Census Tract 7014.26; Montgomery County; Maryland,6173.0,4.7,8.2,19.6,9.9,131178.0
24031701427,Census Tract 7014.27; Montgomery County; Maryland,3306.0,1.2,4.9,6.7,3.7,128224.0
24031701503,Census Tract 7015.03; Montgomery County; Maryland,7518.0,7.4,3.4,23.5,2.2,158829.0
24031701505,Census Tract 7015.05; Montgomery County; Maryland,7264.0,16.0,13.6,14.4,13.4,101313.0
24031701506,Census Tract 7015.06; Montgomery County; Maryland,5150.0,1.1,3.5,23.4,9.2,180700.0
24031701507,Census Tract 7015.07; Montgomery County; Maryland,5459.0,13.5,3.7,27.1,9.0,114659.0
24031701508,Census Tract 7015.08; Montgomery County; Maryland,4834.0,9.1,11.2,7.2,7.9,84755.0
24031701509,Census Tract 7015.09; Montgomery County; Maryland,6390.0,17.0,21.2,8.0,10.0,63200.0
24031701601,Census Tract 7016.01; Montgomery County; Maryland,2035.0,14.2,20.2,7.4,6.4,63274.0
24031701602,Census Tract 7016.02; Montgomery County; Maryland,7158.0,13.5,18.4,10.9,4.1,79531.0
24031701701,Census Tract 7017.01; Montgomery County; Maryland,3503.0,21.4,9.6,22.2,10.1,111411.0
24031701702,Census Tract 7017.02; Montgomery County; Maryland,2474.0,21.1,7.2,8.6,6.5,66548.0
24031701703,Census Tract 7017.03; Montgomery County; Maryland,4016.0,2.3,6.0,12.5,9.4,112955.0
24031701704,Census Tract 7017.04; Montgomery County; Maryland,2899.0,9.4,8.3,10.6,4.6,150000.0
24031701800,Census Tract 7018; Montgomery County; Maryland,4475.0,18.9,12.5,17.9,12.9,98611.0
24031701900,Census Tract 7019; Montgomery County; Maryland,2992.0,23.3,38.9,7.4,7.2,47227.0
24031702000,Census Tract 7020; Montgomery County; Maryland,5705.0,9.8,11.5,9.6,6.9,72821.0
24031702101,Census Tract 7021.01; Montgomery County; Maryland,6285.0,14.2,16.9,17.0,9.6,71458.0
24031702102,Census Tract 7021.02; Montgomery County; Maryland,3333.0,0.0,1.5,11.9,6.6,235776.0
24031702200,Census Tract 7022; Montgomery County; Maryland,4029.0,5.0,2.1,16.0,11.0,201591.0
24031702301,Census Tract 7023.01; Montgomery County; Maryland,3522.0,10.6,12.3,7.6,6.0,99265.0
24031702302,Census Tract 7023.02; Montgomery County; Maryland,4319.0,8.9,8.0,12.6,8.2,89263.0
24031702401,Census Tract 7024.01; Montgomery County; Maryland,2684.0,5.0,3.0,16.2,8.1,197894.0
24031702402,Census Tract 7024.02; Montgomery County; Maryland,4629.0,23.9,5.7,16.1,9.9,106936.0
24031702501,Census Tract 7025.01; Montgomery County; Maryland,3580.0,23.6,4.7,5.1,1.9,115409.0
24031702502,Census Tract 7025.02; Montgomery County; Maryland,1813.0,29.4,12.6,10.3,14.0,89063.0
24031702503,Census Tract 7025.03; Montgomery County; Maryland,4256.0,32.8,8.3,11.8,14.9,89633.0
24031702602,Census Tract 7026.02; Montgomery County; Maryland,5025.0,6.8,9.4,7.4,9.4,84167.0
24031702603,Census Tract 7026.03; Montgomery County; Maryland,2247.0,25.0,11.7,11.2,11.7,100179.0
24031702604,Census Tract 7026.04; Montgomery County; Maryland,3139.0,22.5,13.6,8.7,9.0,84818.0
24031702700,Census Tract 7027; Montgomery County; Maryland,7131.0,6.4,10.7,10.4,5.0,114563.0
