GEOID,tract_name,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino
24031701005,Census Tract 7010.05; Montgomery County; Maryland,3187.0,1893.0,182.0,810.0,50.0
24031701006,Census Tract 7010.06; Montgomery County; Maryland,5465.0,3379.0,200.0,1331.0,297.0
24031701007,Census Tract 7010.07; Montgomery County; Maryland,3687.0,1188.0,798.0,1101.0,249.0
24031701101,Census Tract 7011.01; Montgomery County; Maryland,4490.0,1675.0,344.0,577.0,1770.0
24031701102,Census Tract 7011.02; Montgomery County; Maryland,6068.0,1913.0,656.0,809.0,2317.0
24031701201,Census Tract 7012.01; Montgomery County; Maryland,6644.0,3214.0,533.0,523.0,1948.0
24031701202,Census Tract 7012.02; Montgomery County; Maryland,2779.0,1987.0,22.0,261.0,261.0
24031701205,Census Tract 7012.05; Montgomery County; Maryland,7461.0,5030.0,473.0,904.0,876.0
24031701206,Census Tract 7012.06; Montgomery County; Maryland,6736.0,3721.0,0.0,1354.0,1107.0
24031701210,Census Tract 7012.10; Montgomery County; Maryland,3879.0,2537.0,102.0,778.0,250.0
24031701211,Census Tract 7012.11; Montgomery County; Maryland,5758.0,1933.0,754.0,1316.0,1157.0
24031701212,Census Tract 7012.12; Montgomery County; Maryland,2668.0,1651.0,148.0,304.0,407.0
24031701214,Census Tract 7012.14; Montgomery County; Maryland,4256.0,2121.0,584.0,541.0,761.0
24031701215,Census Tract 7012.15; Montgomery County; Maryland,4433.0,2742.0,220.0,984.0,368.0
24031701216,Census Tract 7012.16; Montgomery County; Maryland,5429.0,2337.0,551.0,1532.0,623.0
24031701218,Census Tract 7012.18; Montgomery County; Maryland,2791.0,1522.0,314.0,516.0,306.0
24031701219,Census Tract 7012.19; Montgomery County; Maryland,4557.0,812.0,912.0,440.0,2072.0
24031701220,Census Tract 7012.20; Montgomery County; Maryland,3553.0,1464.0,217.0,1284.0,341.0
24031701221,Census Tract 7012.21; Montgomery County; Maryland,4255.0,1471.0,215.0,2032.0,440.0
24031701222,Census Tract 7012.22; Montgomery County; Maryland,3574.0,1876.0,415.0,782.0,251.0
24031701223,Census Tract 7012.23; Montgomery County; Maryland,2963.0,1584.0,217.0,364.0,621.0
24031701303,Census Tract 7013.03; Montgomery County; Maryland,3729.0,2480.0,105.0,552.0,379.0
24031701304,Census Tract 7013.04; Montgomery County; Maryland,6280.0,4350.0,547.0,379.0,507.0
24031701306,Census Tract 7013.06; Montgomery County; Maryland,2746.0,1934.0,123.0,263.0,203.0
24031701307,Census Tract 7013.07; Montgomery County; Maryland,4538.0,2312.0,897.0,826.0,277.0
24031701308,Census Tract 7013.08; Montgomery County; Maryland,4968.0,1963.0,1318.0,892.0,563.0
24031701312,Census Tract 7013.12; Montgomery County; Maryland,6484.0,3851.0,774.0,492.0,1052.0
24031701313,Census Tract 7013.13; Montgomery County; Maryland,3626.0,1616.0,436.0,379.0,689.0
24031701314,Census Tract 7013.14; Montgomery County; Maryland,2907.0,1392.0,432.0,363.0,469.0
24031701315,Census Tract 7013.15; Montgomery County; Maryland,4218.0,2045.0,557.0,939.0,438.0
24031701316,Census Tract 7013.16; Montgomery County; Maryland,6451.0,4066.0,880.0,494.0,589.0
24031701317,Census Tract 7013.17; Montgomery County; Maryland,4542.0,2857.0,655.0,288.0,520.0
24031701407,Census Tract 7014.07; Montgomery County; Maryland,5771.0,2184.0,1534.0,728.0,789.0
24031701408,Census Tract 7014.08; Montgomery County; Maryland,5358.0,2217.0,1136.0,749.0,1073.0
24031701409,Census Tract 7014.09; Montgomery County; Maryland,4772.0,1608.0,1148.0,983.0,705.0
24031701414,Census Tract 7014.14; Montgomery County; Maryland,7714.0,1336.0,4067.0,892.0,951.0
24031701415,Census Tract 7014.15; Montgomery County; Maryland,8609.0,1344.0,3954.0,1030.0,1640.0
24031701417,Census Tract 7014.17; Montgomery County; Maryland,6576.0,379.0,4093.0,524.0,1153.0
24031701418,Census Tract 7014.18; Montgomery County; Maryland,3473.0,715.0,1908.0,450.0,314.0
24031701422,Census Tract 7014.22; Montgomery County; Maryland,2604.0,166.0,2086.0,42.0,216.0
24031701423,Census Tract 7014.23; Montgomery County; Maryland,5456.0,298.0,3354.0,503.0,1073.0
24031701424,Census Tract 7014.24; Montgomery County; Maryland,3519.0,787.0,962.0,272.0,1462.0
