"Permit Number","Status","Street Number","Street Name","Street Suffix","Post-direction","City","State","ZIP code","Added Date","Issue Date","Final Date","Building Area","Declared Valuation","Description","Application Type","Work Type","Use Code","Pre-direction","Location"
"227046","Finaled","9213","STEWARTOWN","RD",,"GAITHERSBURG","MD","20879","08/21/2000","08/23/2000","08/23/2001",,"$5,000.00",,"BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.190476 39.177611)"
"420511","Finaled","1600","REGENT MANOR","CT",,"SILVER SPRING","MD","20904","05/10/2006","02/07/2007","09/12/2007","2,460","$95,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.977891 39.042883)"
"234393","Finaled","13325","TIVOLI FOUNTAIN","CT",,"GERMANTOWN","MD","20874","11/08/2000","11/27/2000","04/06/2001","3,500","$100,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.275951 39.160335)"
"309983","Finaled","23618","PUBLIC HOUSE","RD",,"CLARKSBURG","MD","20871","06/23/2003","12/17/2003","08/26/2004","1,506","$80,000.00","MODEL:  18' MPDU TOWNHOUSE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.279129 39.24237)"
"661231","Finaled","3535","WOODLAKE","DR",,"SILVER SPRING","MD","20904","01/24/2014","05/20/2014","10/17/2014","2,242","$100,000.00","MODEL: BARTON T010 (refer back #648984) - TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"1024814","Finaled","19786","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/15/2023","05/31/2023","02/14/2024","1,728","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"834719","Finaled","43","BLUE JAY","WAY",,"CLARKSBURG","MD","20871","04/22/2018","05/18/2018","12/12/2018","2,553","$300,000.00","Customer Wants To Use ePlans,Cabin Branch lot 2R Hadden","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.28588 39.22054)"
"326943","Finaled","23807","BRANCHBRIER","WAY",,"CLARKSBURG","MD","20871","12/08/2003","05/20/2004","10/29/2004","13,650","$480,000.00","Model:Annapolis","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.271905 39.244863)"
"840888","Finaled","14312","POTOMAC HEIGHTS","LN",,"ROCKVILLE","MD","20850","06/12/2018","07/24/2018","12/28/2018","2,469","$197,000.00","Revision 1 - changing the lower level from a rec rm and powder rm to a bedroom and full bathroom,Customer Wants To Use ePlansCustomer Wants To Use ePlans,Build TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.211899 39.09001)"
"742740","Finaled","134","BYTHAM RIDGE","LN",,"POTOMAC","MD","20854","01/25/2016","02/24/2016","10/11/2017","1,979","$200,000.00","Customer Wants To Use ePlans,Lot 22 Aubrey MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.161376 39.027989)"
"682712","Finaled","12008","GREY SQUIRREL","ST",,"CLARKSBURG","MD","20871","08/01/2014","09/25/2014","02/27/2015","2,201","$95,000.00","Referback : Model : Strauss 'FTF'","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"333621","Finaled","22110","HAVENWORTH","LN",,"CLARKSBURG","MD","20871","02/23/2004","07/29/2004","08/25/2005","2,600","$150,000.00","MODEL: BETHESDA","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.266265 39.219975)"
"441398","Finaled","2817","CORNET","CT",,"SILVER SPRING","MD","20904","12/20/2006","02/23/2007","08/08/2007","2,500","$150,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.95276 39.074277)"
"223314","Finaled","54","CALABASH","CT",,"ROCKVILLE","MD","20850","07/06/2000","07/21/2000","11/24/2000","2,500","$100,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.211406 39.085309)"
"332067","Finaled","11006","ASCOTT VIEW","LN",,"SILVER SPRING","MD","20901","02/10/2004","09/01/2004","03/16/2005","2,109","$95,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.995938 39.037385)"
"238174","Finaled","13746","HARVEST GLEN","WAY",,"GERMANTOWN","MD","20874","01/09/2001","03/06/2001","10/02/2001","2,187","$81,000.00","MODEL:  TYPE A","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.281602 39.176755)"
"714517","Finaled","3627","SUMMER HOUSE","ST",,"SILVER SPRING","MD","20906","05/31/2015","07/20/2015","11/12/2015","2,640","$150,000.00","Customer Wants To Use ePlans,GREENBRIAR AT NORBECK CROSSING, LOT 45 BLOCK A, HOUSE TYPE KENNEDYljhl;hhkgfiouy","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.073124 39.064917)"
"327153","Finaled","3330","CASTLE RIDGE","CIR",,"SILVER SPRING","MD","20904","12/10/2003","03/18/2004","10/21/2004","1,800","$85,000.00","MODEL:  ADAMS","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.94054 39.086013)"
"560765","Finaled","1513","HIDEAWAY","PL",,"SILVER SPRING","MD","20906","02/11/2011","03/08/2011","07/20/2011","1,475","$180,000.00","House Type:  Manning (MPDU)","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.03654 39.078074)"
"333564","Finaled","12232","CYPRESS SPRING","RD",,"CLARKSBURG","MD","20871","02/23/2004","05/24/2005","04/28/2006","2,304","$80,000.00","Model:T-1970","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.251208 39.236274)"
"370960","Finaled","13014","CLARKSBURG SQUARE","RD",,"CLARKSBURG","MD","20871","01/19/2005","03/21/2005","09/09/2005","2,600","$80,000.00","MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.273618 39.244366)"
"591543","Finaled","6709","PYLE","RD",,"BETHESDA","MD","20817","02/17/2012","02/17/2012","08/31/2012","1,200","$35,000.00","Interior alteration","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.133417 38.977309)"
"556565","Finaled","1629","POPLAR RUN","DR",,"SILVER SPRING","MD","20906","12/10/2010","01/31/2011","04/06/2011","2,157","$180,000.00","House type:  Reece","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.035473 39.07921)"
"559817","Finaled","3330","CLARIDGE","CT",,"SILVER SPRING","MD","20902","01/31/2011","01/31/2011","05/27/2011","1,185","$45,981.23","restore & repair","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","TOWNHOUSE",,"POINT (-77.067432 39.051916)"
"593682","Finaled","3912","PENDLE HALL","LN",,"BURTONSVILLE","MD","20866","03/15/2012","05/17/2012","08/16/2012","2,520","$95,000.00","House Type:  Strauss","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.930617 39.102143)"
"639491","Open","24","ELLSWORTH HEIGHTS","ST",,"SILVER SPRING","MD","20910","06/21/2013",,,"2,199","$205,000.00","NEW TOWNHOME ON VACANT LOT&nbsp;/ 2012 IRC REFERBACK / TYPE D MODEL / BUILDING 7","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.023025 38.999267)"
"332696","Finaled","22229","TRENTWORTH","WAY",,"CLARKSBURG","MD","20871","02/18/2004","06/08/2004","06/13/2005","2,904","$100,000.00","MODEL:FULTON","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.265731 39.220566)"
"375275","Finaled","22250","TRENTWORTH","WAY",,"CLARKSBURG","MD","20871","03/02/2005","04/07/2005","02/24/2006","2,904","$150,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.26489 39.221119)"
