GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino,pct_people_of_color,pct_households_no_vehicle_z,pct_people_below_poverty_z,pct_age_65_plus_z,pct_disabled_z,transit_need_index,transit_need_percentile,transit_need_quartile
24031700613,Census Tract 7006.13; Montgomery County; Maryland,6495.0,3.6,2.7,16.9,13.6,152636.0,6495.0,2123.0,1227.0,2268.0,575.0,67.31331793687451,-0.5430248540037049,-0.8047106359371863,-0.07148531035580664,0.8862075256282063,-0.13325331866712287,0.5387931034482759,moderate_high
24031700614,Census Tract 7006.14; Montgomery County; Maryland,5812.0,3.3,6.1,16.5,16.7,91402.0,5812.0,1668.0,1694.0,552.0,1605.0,71.30075705437027,-0.580766545474304,-0.23342474841378386,-0.1110903061827847,1.5752458525815098,0.16249106312765935,0.7068965517241379,moderate_high
24031700615,Census Tract 7006.15; Montgomery County; Maryland,3023.0,1.7,4.6,21.7,7.6,206898.0,3023.0,1924.0,108.0,564.0,192.0,36.35461462123718,-0.782055566650832,-0.48546263996822614,0.4037746395679319,-0.4474150426685104,-0.3277896524299092,0.3448275862068966,moderate_low
24031700616,Census Tract 7006.16; Montgomery County; Maryland,5002.0,3.6,4.8,24.7,8.1,166458.0,5002.0,2579.0,248.0,1410.0,510.0,48.4406237504998,-0.5430248540037049,-0.4518575877609671,0.7008121082702684,-0.33627982864378403,-0.1575875405345469,0.5258620689655172,moderate_high
24031700617,Census Tract 7006.17; Montgomery County; Maryland,1872.0,5.1,6.8,21.6,6.3,168000.0,1872.0,666.0,106.0,944.0,35.0,64.42307692307692,-0.35431639665070985,-0.11580706568837743,0.39387339061118753,-0.736366599132799,-0.2031541677151747,0.4956896551724138,moderate_low
24031700618,Census Tract 7006.18; Montgomery County; Maryland,5606.0,1.5,1.7,19.5,4.7,214213.0,5606.0,1555.0,325.0,3212.0,306.0,72.26186229040314,-0.8072166942978981,-0.9727358969734812,0.18594716251955185,-1.0919992840119235,-0.6715011781909377,0.04741379310344827,low
24031700706,Census Tract 7007.06; Montgomery County; Maryland,4324.0,8.3,5.2,8.2,8.4,100907.0,4324.0,926.0,1032.0,704.0,1314.0,78.58464384828862,0.04826164570234647,-0.3846474833464491,-0.9328939695925825,-0.26959870022894805,-0.38471962686640826,0.28448275862068967,moderate_low
24031700710,Census Tract 7007.10; Montgomery County; Maryland,6395.0,1.3,2.5,16.7,10.8,127837.0,6395.0,2032.0,433.0,1173.0,2293.0,68.22517591868647,-0.8323778219449641,-0.8383156881444452,-0.09128780826929567,0.2638503270897387,-0.37453274781724155,0.2974137931034483,moderate_low
24031700711,Census Tract 7007.11; Montgomery County; Maryland,7102.0,5.7,3.4,15.7,8.2,124107.0,7102.0,2083.0,1342.0,1790.0,1477.0,70.6702337369755,-0.27883301370951175,-0.68709295321178,-0.19030029783674118,-0.31405278583883883,-0.367569762649218,0.30603448275862066,moderate_low
24031700713,Census Tract 7007.13; Montgomery County; Maryland,4932.0,13.6,27.2,7.1,9.4,55106.0,4932.0,587.0,827.0,996.0,2446.0,88.09813463098135,0.7150315283495957,3.3119082594520375,-1.0418077081167725,-0.04732827217949526,0.7344509518763414,0.8922413793103449,high
24031700715,Census Tract 7007.15; Montgomery County; Maryland,6461.0,1.6,9.6,11.6,10.1,106955.0,6461.0,775.0,792.0,901.0,3531.0,88.00495279368519,-0.7946361304743651,0.35466366521324816,-0.5962515050632677,0.10826102745512153,-0.2319907357173158,0.46120689655172414,moderate_low
24031700718,Census Tract 7007.18; Montgomery County; Maryland,5991.0,9.7,7.8,32.1,18.2,133304.0,5991.0,2654.0,675.0,1371.0,703.0,55.7002169921549,0.22438953923180838,0.05221819534791743,1.4335045310693655,1.908651494655689,0.9046909400761951,0.9181034482758621,high
24031700720,Census Tract 7007.20; Montgomery County; Maryland,3437.0,4.7,8.5,19.9,16.1,164500.0,3437.0,625.0,829.0,423.0,1289.0,81.8155368053535,-0.40463865194484183,0.16983587807332387,0.2255521583465299,1.4418835957518386,0.3581582450567126,0.8146551724137931,high
24031700721,Census Tract 7007.21; Montgomery County; Maryland,3732.0,5.2,25.7,16.0,17.3,71701.0,3732.0,949.0,320.0,457.0,1752.0,74.57127545551982,-0.3417358328271768,3.059870367897595,-0.16059655096650746,1.7086081094111818,1.0665365233787731,0.9525862068965517,high
24031700723,Census Tract 7007.23; Montgomery County; Maryland,4291.0,34.3,14.5,40.5,25.0,113600.0,4291.0,2329.0,711.0,328.0,860.0,45.72360755068748,3.3192082398209277,1.177987444291093,2.2652094434359076,3.420090405391968,2.545623883234974,0.9913793103448276,high
24031700724,Census Tract 7007.24; Montgomery County; Maryland,3640.0,14.6,14.7,6.8,14.7,70103.0,3640.0,501.0,638.0,578.0,1923.0,86.23626373626374,0.8408371665849258,1.2115924964983518,-1.0715114549870062,1.1307049964826044,0.527905801144719,0.8405172413793104,high
24031700725,Census Tract 7007.25; Montgomery County; Maryland,6313.0,23.2,9.3,6.5,10.5,72104.0,6313.0,827.0,857.0,243.0,4284.0,86.90004752098844,1.9227656554087642,0.30425608690235983,-1.1012152018572399,0.19716919867490273,0.33074393478219677,0.7974137931034483,high
24031700726,Census Tract 7007.26; Montgomery County; Maryland,3124.0,0.0,5.2,13.6,3.2,87298.0,3124.0,483.0,493.0,1004.0,821.0,84.53905249679897,-0.9959251516508931,-0.3846474833464491,-0.3982265259283767,-1.4254049260861026,-0.8010510217529554,0.017241379310344827,low
24031700727,Census Tract 7007.27; Montgomery County; Maryland,2251.0,14.3,16.3,15.7,18.7,90417.0,2251.0,371.0,59.0,149.0,1583.0,83.51843625055531,0.8030954751143269,1.4804329141564236,-0.19030029783674118,2.0197867086804155,1.028253700028606,0.9439655172413793,high
24031700728,Census Tract 7007.28; Montgomery County; Maryland,2069.0,18.1,15.3,20.0,11.6,107250.0,2069.0,762.0,327.0,435.0,453.0,63.17061382310295,1.2811569004085812,1.312407653120129,0.2354534073032746,0.4416666695293007,0.8176711575903214,0.9051724137931034,high
24031700729,Census Tract 7007.29; Montgomery County; Maryland,2924.0,2.2,17.7,19.0,8.0,110855.0,2924.0,426.0,473.0,881.0,950.0,85.43091655266758,-0.719152747533167,1.7156682796072362,0.1364409177358291,-0.3585068714487292,0.19361239459029228,0.7241379310344828,moderate_high
24031700730,Census Tract 7007.30; Montgomery County; Maryland,5076.0,2.2,9.2,18.3,8.3,125574.0,5076.0,1625.0,640.0,679.0,1572.0,67.98660362490149,-0.719152747533167,0.28745356079873013,0.06713217503861729,-0.29182574303389325,-0.1640981886824282,0.5086206896551724,moderate_high
24031700731,Census Tract 7007.31; Montgomery County; Maryland,4007.0,15.9,22.7,8.0,13.4,103148.0,4007.0,574.0,655.0,256.0,2190.0,85.67506862989768,1.004384496290855,2.5557945847887105,-0.9526964675060716,0.8417534400183159,0.8623090133979524,0.9137931034482759,high
24031700732,Census Tract 7007.32; Montgomery County; Maryland,3263.0,10.2,14.7,11.2,8.9,92500.0,3263.0,328.0,532.0,266.0,2099.0,89.94790070487282,0.2872923583494734,1.2115924964983518,-0.635856500890246,-0.15846348620422165,0.1761412169383394,0.7112068965517241,moderate_high
24031700733,Census Tract 7007.33; Montgomery County; Maryland,4860.0,9.0,5.7,10.3,9.1,90134.0,4860.0,946.0,1576.0,713.0,1486.0,80.53497942386831,0.13632559246707743,-0.3006348528283017,-0.7249677415009468,-0.11400940059433125,-0.25082160061412556,0.44396551724137934,moderate_low
24031700810,Census Tract 7008.10; Montgomery County; Maryland,6024.0,2.4,5.5,19.2,7.7,170245.0,6024.0,1356.0,1562.0,620.0,2155.0,77.49003984063745,-0.6939916198861009,-0.3342399050355607,0.15624341564931812,-0.42518799986356504,-0.32429402728397716,0.34913793103448276,moderate_low
24031700811,Census Tract 7008.11; Montgomery County; Maryland,4615.0,12.8,8.7,13.1,9.3,116905.0,4615.0,689.0,1583.0,588.0,1322.0,85.07042253521126,0.6143870177613318,0.20344093028058272,-0.4477327707120995,-0.06955531498444045,0.07513496558634364,0.6767241379310345,moderate_high
24031700812,Census Tract 7008.12; Montgomery County; Maryland,4513.0,15.2,9.6,19.6,15.1,88954.0,4513.0,1600.0,747.0,926.0,1060.0,64.54686461333924,0.9163205495261237,0.35466366521324816,0.19584841147629653,1.2196131677023854,0.6716114484795135,0.8836206896551724,high
24031700813,Census Tract 7008.13; Montgomery County; Maryland,5455.0,0.7,7.5,15.1,10.3,106528.0,5455.0,1596.0,964.0,721.0,1515.0,70.74243813015582,-0.9078612048861621,0.0018106170370290034,-0.24970779157720846,0.15271511306501231,-0.2507608165903323,0.4482758620689655,moderate_low
24031700815,Census Tract 7008.15; Montgomery County; Maryland,7809.0,3.0,16.1,9.4,10.4,110871.0,7809.0,1141.0,2455.0,1457.0,2572.0,85.38865411704444,-0.618508236944903,1.4468278619491648,-0.8140789821116479,0.17494215586995754,0.04729569969064287,0.646551724137931,moderate_high
24031700818,Census Tract 7008.18; Montgomery County; Maryland,6356.0,36.7,14.5,4.6,9.0,88590.0,6356.0,753.0,2378.0,651.0,1998.0,88.1529263687854,3.6211417715857204,1.177987444291093,-1.2893389320353863,-0.13623644339927646,0.8433884601105375,0.9094827586206896,high
24031700819,Census Tract 7008.19; Montgomery County; Maryland,6669.0,1.7,4.7,10.9,12.9,103155.0,6669.0,1737.0,1918.0,977.0,1620.0,73.95411605937922,-0.782055566650832,-0.46866011386459655,-0.6655602477604795,0.7306182259935895,-0.2964144255705796,0.3879310344827586,moderate_low
24031700820,Census Tract 7008.20; Montgomery County; Maryland,3548.0,16.5,10.1,9.4,7.1,92560.0,3548.0,462.0,592.0,497.0,1917.0,86.97857948139797,1.0798678792320529,0.43867629573139555,-0.8140789821116479,-0.5585502566932368,0.03647873403964097,0.6379310344827587,moderate_high
24031700822,Census Tract 7008.22; Montgomery County; Maryland,1555.0,10.1,24.4,17.6,12.2,48693.0,1555.0,485.0,474.0,268.0,292.0,68.81028938906752,0.27471179452594047,2.8414375285504114,-0.0021765676585944987,0.5750289263589723,0.9222504204441825,0.9310344827586207,high
24031700823,Census Tract 7008.23; Montgomery County; Maryland,3373.0,6.1,6.8,14.7,10.2,165568.0,3373.0,1509.0,600.0,560.0,526.0,55.26237770530685,-0.22851075841537982,-0.11580706568837743,-0.2893127874041867,0.13048807026006673,-0.12578563531196932,0.5431034482758621,moderate_high
24031700824,Census Tract 7008.24; Montgomery County; Maryland,2703.0,0.7,3.3,14.7,7.8,225038.0,2703.0,1754.0,109.0,504.0,111.0,35.10913799482057,-0.9078612048861621,-0.7038954793154094,-0.2893127874041867,-0.40296095705861984,-0.5760076071660946,0.09482758620689655,low
24031700826,Census Tract 7008.26; Montgomery County; Maryland,6101.0,2.9,1.1,13.6,11.7,173188.0,6101.0,4102.0,80.0,1266.0,322.0,32.76512047205376,-0.6310888007684359,-1.073551053595258,-0.3982265259283767,0.4638937123342459,-0.4097431669894561,0.2543103448275862,moderate_low
24031700828,Census Tract 7008.28; Montgomery County; Maryland,2076.0,2.9,1.2,17.8,4.7,220714.0,2076.0,1178.0,121.0,452.0,194.0,43.25626204238921,-0.6310888007684359,-1.0567485274916286,0.017625930254894534,-1.0919992840119235,-0.6905526705042734,0.04310344827586207,low
24031700829,Census Tract 7008.29; Montgomery County; Maryland,3299.0,4.8,5.5,21.5,11.4,152283.0,3299.0,1527.0,217.0,966.0,326.0,53.71324643831464,-0.3920580881213089,-0.3342399050355607,0.3839721416544429,0.39721258391941033,0.013721683104245902,0.625,moderate_high
24031700830,Census Tract 7008.30; Montgomery County; Maryland,2516.0,15.9,10.1,9.7,10.9,83537.0,2516.0,319.0,874.0,652.0,420.0,87.32114467408584,1.004384496290855,0.43867629573139555,-0.7843752352414143,0.2860773698946839,0.23619073166888002,0.7586206896551724,high
24031700832,Census Tract 7008.32; Montgomery County; Maryland,3004.0,8.3,13.9,10.3,11.4,80417.0,3004.0,676.0,401.0,147.0,1739.0,77.49667110519307,0.04826164570234647,1.0771722876693162,-0.7249677415009468,0.39721258391941033,0.1994196939475315,0.728448275862069,moderate_high
24031700833,Census Tract 7008.33; Montgomery County; Maryland,4027.0,13.8,15.3,10.5,14.2,110391.0,4027.0,1268.0,719.0,912.0,1007.0,68.51254035261982,0.7401926559966618,1.312407653120129,-0.7051652435874578,1.0195697824578778,0.5917512119968027,0.853448275862069,high
24031700834,Census Tract 7008.34; Montgomery County; Maryland,5665.0,2.4,17.8,6.7,9.8,120345.0,5665.0,624.0,1820.0,331.0,2398.0,88.98499558693733,-0.6939916198861009,1.732470805710866,-1.0814127039437509,0.04157989904028594,-0.0003384047696749718,0.6120689655172413,moderate_high
24031700835,Census Tract 7008.35; Montgomery County; Maryland,4695.0,1.1,1.9,16.4,8.9,169188.0,4695.0,1016.0,1416.0,1629.0,584.0,78.35995740149095,-0.8575389495920301,-0.9391308447662222,-0.1209915551395294,-0.15846348620422165,-0.5190312089255008,0.14224137931034483,low
24031700836,Census Tract 7008.36; Montgomery County; Maryland,1484.0,11.0,3.2,11.4,10.0,72447.0,1484.0,331.0,150.0,440.0,184.0,77.69541778975741,0.38793686893773754,-0.7206980054190388,-0.6160540029767568,0.08603398465017634,-0.21569528870197047,0.4827586206896552,moderate_low
